taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/AP009_1973	AP009_1973	4	4IV	-	-	-	4/4IV/-/-/-	AP009_1973/4/4IV/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/AP010_1975	AP010_1975	4	4IV	-	-	-	4/4IV/-/-/-	AP010_1975/4/4IV/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/AP011_1975	AP011_1975	4	4IV	-	-	-	4/4IV/-/-/-	AP011_1975/4/4IV/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/EF457906.1_1975	EF457906.1_1975	4	4IV	-	-	-	4/4IV/-/-/-	EF457906.1_1975/4/4IV/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/FJ196849.1_1978	FJ196849.1_1978	4	4II	4II_A	-	-	4/4II/4II_A/-/-	FJ196849.1_1978/4/4II/4II_A/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/FJ850059.1_1998	FJ850059.1_1998	4	4II	4II_B	4II_B.2	-	4/4II/4II_B/4II_B.2/-	FJ850059.1_1998/4/4II/4II_B/4II_B.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/FJ850095.1_2000	FJ850095.1_2000	4	4II	4II_B	4II_B.1	-	4/4II/4II_B/4II_B.1/-	FJ850095.1_2000/4/4II/4II_B/4II_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/GQ868583.1_2004	GQ868583.1_2004	4	4II	4II_B	4II_B.1	-	4/4II/4II_B/4II_B.1/-	GQ868583.1_2004/4/4II/4II_B/4II_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JF262779.1_1975	JF262779.1_1975	4	4III	-	-	-	4/4III/-/-/-	JF262779.1_1975/4/4III/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JF262780.1_1973	JF262780.1_1973	4	4IV	-	-	-	4/4IV/-/-/-	JF262780.1_1973/4/4IV/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JF262783.1_1961	JF262783.1_1961	4	4II	-	-	-	4/4II/-/-/-	JF262783.1_1961/4/4II/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JF741967.1_2010-09-26	JF741967.1_2010-09-26	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	JF741967.1_2010-09-26/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JN559741.2_2010-07-21	JN559741.2_2010-07-21	4	4II	4II_B	4II_B.1	4II_B.1.1	4/4II/4II_B/4II_B.1/4II_B.1.1	JN559741.2_2010-07-21/4/4II/4II_B/4II_B.1	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JN638572.1_2008	JN638572.1_2008	4	4I	4I_A	4I_A.2	-	4/4I/4I_A/4I_A.2/-	JN638572.1_2008/4/4I/4I_A/4I_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JQ922558.1_1962	JQ922558.1_1962	4	4I	-	-	-	4/4I/-/-/-	JQ922558.1_1962/4/4I/-/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/JQ922559.1_1979	JQ922559.1_1979	4	4I	4I_B	-	-	4/4I/4I_B/-/-	JQ922559.1_1979/4/4I/4I_B/-	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762696.1_2007-08-13	KC762696.1_2007-08-13	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762696.1_2007-08-13/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762698.1_2008-04-30	KC762698.1_2008-04-30	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762698.1_2008-04-30/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KC762699.1_2008-03-28	KC762699.1_2008-03-28	4	4II	4II_A	4II_A.2	-	4/4II/4II_A/4II_A.2/-	KC762699.1_2008-03-28/4/4II/4II_A/4II_A.2	-	-	-
alignment/AL_UNC_DENV4_YALE/member/fasta-refseqs-yale-denv4/KJ596660.1_2012-04-03	KJ596660.1_2012-04-03	4	4II	4II_B	4II_B.1	4II_B.1.1	4/4II/4II_B/4II_B.1/4II_B.1.1	KJ596660.1_2012-04-03/4/4II/4II_B/4II_B.1	-	-	-
