taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/AP002_1969	AP002_1969	2	2II	2II_A	-	-	2/2II/2II_A/-/-	AP002_1969/2/2II/2II_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/DQ181801.1_1990	DQ181801.1_1990	2	2III	2III_A	-	-	2/2III/2III_A/-/-	DQ181801.1_1990/2/2III/2III_A/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105379.1_1970	EF105379.1_1970	2	2VI	-	-	-	2/2VI/-/-/-	EF105379.1_1970/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105385.1_1974	EF105385.1_1974	2	2VI	-	-	-	2/2VI/-/-/-	EF105385.1_1974/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105386.1_1980	EF105386.1_1980	2	2VI	-	-	-	2/2VI/-/-/-	EF105386.1_1980/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EF105388.1_1966	EF105388.1_1966	2	2VI	-	-	-	2/2VI/-/-/-	EF105388.1_1966/2/2VI/-/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EPI_ISL_17831898_2023-05-09	EPI_ISL_17831898_2023-05-09	2	2II	2II_F	2II_F.1	2II_F.1.3	2/2II/2II_F/2II_F.1/2II_F.1.3	EPI_ISL_17831898_2023-05-09/2/2II/2II_F/2II_F.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU179859.1_2006	EU179859.1_2006	2	2II	2II_D	-	-	2/2II/2II_D/-/-	EU179859.1_2006/2/2II/2II_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482449.1_2006	EU482449.1_2006	2	2III	2III_A	2III_A.2	-	2/2III/2III_A/2III_A.2/-	EU482449.1_2006/2/2III/2III_A/2III_A.2	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482545.1_1998	EU482545.1_1998	2	2III	2III_E	-	-	2/2III/2III_E/-/-	EU482545.1_1998/2/2III/2III_E/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482607.1_2007	EU482607.1_2007	2	2III	2III_D	2III_D.3	-	2/2III/2III_D/2III_D.3/-	EU482607.1_2007/2/2III/2III_D/2III_D.3	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482635.1_2005	EU482635.1_2005	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	EU482635.1_2005/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482639.1_2006	EU482639.1_2006	2	2III	2III_D	2III_D.1	2III_D.1.3	2/2III/2III_D/2III_D.1/2III_D.1.3	EU482639.1_2006/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482721.1_2006	EU482721.1_2006	2	2III	2III_B	-	-	2/2III/2III_B/-/-	EU482721.1_2006/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU482726.1_2006	EU482726.1_2006	2	2III	2III_C	-	-	2/2III/2III_C/-/-	EU482726.1_2006/2/2III/2III_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU529706.1_2006	EU529706.1_2006	2	2III	2III_B	-	-	2/2III/2III_B/-/-	EU529706.1_2006/2/2III/2III_B/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU596500.1_2007	EU596500.1_2007	2	2III	2III_D	2III_D.1	2III_D.1.1	2/2III/2III_D/2III_D.1/2III_D.1.1	EU596500.1_2007/2/2III/2III_D/2III_D.1	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU687212.1_1998	EU687212.1_1998	2	2III	2III_C	-	-	2/2III/2III_C/-/-	EU687212.1_1998/2/2III/2III_C/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU726775.1_1996	EU726775.1_1996	2	2III	2III_D	-	-	2/2III/2III_D/-/-	EU726775.1_1996/2/2III/2III_D/-	-	-	-
alignment/AL_UNC_DENV2_YALE/member/fasta-refseqs-yale-denv2/EU920835.1_2002-04	EU920835.1_2002-04	2	2III	2III_E	-	-	2/2III/2III_E/-/-	EU920835.1_2002-04/2/2III/2III_E/-	-	-	-
