taxon	sequenceID	serotype	genotype	major_lineage	minor_lineage	minor_sublineage	combined	combined-with-id	isolate	country	collection_year
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/AB519681.1_2001	AB519681.1_2001	1	1V	1V_H	-	-	1/1V/1V_H/-/-	AB519681.1_2001/1/1V/1V_H/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/AY732483.1_1981	AY732483.1_1981	1	1I	1I_B	-	-	1/1I/1I_B/-/-	AY732483.1_1981/1/1I/1I_B/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/DQ285559.1_2004	DQ285559.1_2004	1	1V	1V_A	-	-	1/1V/1V_A/-/-	DQ285559.1_2004/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU081258.1_2005	EU081258.1_2005	1	1V	1V_A	-	-	1/1V/1V_A/-/-	EU081258.1_2005/1/1V/1V_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU179860.1_2005	EU179860.1_2005	1	1III	1III_A	-	-	1/1III/1III_A/-/-	EU179860.1_2005/1/1III/1III_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU482567.1_1998	EU482567.1_1998	1	1V	1V_J	-	-	1/1V/1V_J/-/-	EU482567.1_1998/1/1V/1V_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU482789.1_2003	EU482789.1_2003	1	1I	1I_C	-	-	1/1I/1I_C/-/-	EU482789.1_2003/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU482811.1_2006	EU482811.1_2006	1	1I	1I_H	1I_H.2	-	1/1I/1I_H/1I_H.2/-	EU482811.1_2006/1/1I/1I_H/1I_H.2	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/EU677173.1_2007	EU677173.1_2007	1	1I	1I_C	-	-	1/1I/1I_C/-/-	EU677173.1_2007/1/1I/1I_C/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ196847.1_1997	FJ196847.1_1997	1	1I	1I_A	-	-	1/1I/1I_A/-/-	FJ196847.1_1997/1/1I/1I_A/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ196848.1_1999	FJ196848.1_1999	1	1I	1I_F	-	-	1/1I/1I_F/-/-	FJ196848.1_1999/1/1I/1I_F/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ205875.1_1995	FJ205875.1_1995	1	1V	1V_J	-	-	1/1V/1V_J/-/-	FJ205875.1_1995/1/1V/1V_J/-	-	-	-
alignment/AL_UNC_DENV1_YALE/member/fasta-refseqs-yale-denv1/FJ390380.1_1998	FJ390380.1_1998	1	1V	1V_J	-	-	1/1V/1V_J/-/-	FJ390380.1_1998/1/1V/1V_J/-	-	-	-
